lambda,raw_umber_1_4.17.25,raw_umber_3_4.17.25,raw_umber_4_4.17.25,raw_umber_5_4.17.25,raw_umber_6_4.17.25
400.0,0.5211,0.5603,0.5927,0.683,0.8259
402.0,0.5181,0.5559,0.5884,0.6674,0.8259
404.0,0.5151,0.5493,0.5802,0.6592,0.8259
406.0,0.512,0.5618,0.5758,0.646,0.7922
408.0,0.5086,0.5558,0.5656,0.646,0.7922
410.0,0.508,0.546,0.5591,0.6386,0.7922
412.0,0.5084,0.5374,0.5518,0.6333,0.7667
414.0,0.5066,0.5321,0.5447,0.6218,0.818
416.0,0.5055,0.5412,0.5372,0.6118,0.7944
418.0,0.5069,0.5336,0.5598,0.6067,0.7944
420.0,0.506,0.5433,0.5494,0.641,0.7944
422.0,0.5061,0.5515,0.5419,0.634,0.7728
424.0,0.5072,0.5404,0.5343,0.62,0.7562
426.0,0.5075,0.5481,0.5519,0.6105,0.7998
428.0,0.5078,0.5536,0.5422,0.6018,0.7849
430.0,0.5088,0.5564,0.5287,0.6287,0.768
432.0,0.5096,0.5437,0.5441,0.6198,0.7521
434.0,0.5071,0.5464,0.5327,0.6064,0.7379
436.0,0.5077,0.5473,0.5431,0.6231,0.7644
438.0,0.5059,0.549,0.5517,0.6121,0.7527
440.0,0.5053,0.5479,0.5401,0.6013,0.7401
442.0,0.5047,0.5502,0.5479,0.62,0.7313
444.0,0.5032,0.5498,0.5393,0.6072,0.7133
446.0,0.5031,0.551,0.547,0.597,0.7003
448.0,0.503,0.5516,0.5387,0.5885,0.7279
450.0,0.501,0.5521,0.5481,0.6084,0.7196
452.0,0.5022,0.5435,0.5402,0.5997,0.7107
454.0,0.5034,0.5462,0.5319,0.5948,0.7045
456.0,0.5016,0.5424,0.5402,0.5872,0.6925
458.0,0.5027,0.5449,0.5355,0.5822,0.6875
460.0,0.5019,0.5404,0.5318,0.5747,0.6791
462.0,0.4999,0.5421,0.5241,0.5721,0.6743
464.0,0.5005,0.5468,0.5333,0.566,0.668
466.0,0.4998,0.5489,0.5286,0.5851,0.6972
468.0,0.4977,0.5431,0.5359,0.5767,0.6877
470.0,0.4969,0.545,0.5303,0.574,0.6835
472.0,0.4961,0.5409,0.5267,0.5665,0.675
474.0,0.4954,0.542,0.5202,0.5845,0.6705
476.0,0.4947,0.5432,0.5277,0.5772,0.6644
478.0,0.4939,0.5451,0.524,0.5752,0.6574
480.0,0.4932,0.5405,0.5297,0.569,0.6535
482.0,0.4923,0.542,0.5239,0.5629,0.6478
484.0,0.4917,0.5428,0.5182,0.5751,0.6409
486.0,0.4913,0.537,0.523,0.5696,0.6622
488.0,0.4906,0.5378,0.5289,0.5807,0.6509
490.0,0.4885,0.5369,0.5222,0.5748,0.648
492.0,0.4896,0.5442,0.5263,0.5701,0.6372
494.0,0.4886,0.5431,0.5285,0.578,0.6562
496.0,0.4866,0.5412,0.5317,0.5707,0.6444
498.0,0.489,0.5452,0.5335,0.5781,0.6378
500.0,0.4882,0.5435,0.5364,0.573,0.6497
502.0,0.4873,0.5439,0.53,0.5801,0.6469
504.0,0.4882,0.5417,0.5319,0.5724,0.6357
506.0,0.4878,0.5451,0.5318,0.5807,0.6472
508.0,0.4889,0.5429,0.5431,0.5851,0.6407
510.0,0.4897,0.5482,0.5435,0.5765,0.6499
512.0,0.4893,0.5457,0.5424,0.582,0.6423
514.0,0.4885,0.5488,0.5424,0.5881,0.6482
516.0,0.4877,0.5514,0.5426,0.5914,0.6418
518.0,0.4886,0.5487,0.5393,0.5837,0.6496
520.0,0.4878,0.5489,0.5409,0.5877,0.6437
522.0,0.4869,0.5527,0.5473,0.5911,0.6486
524.0,0.4864,0.5481,0.5459,0.5948,0.656
526.0,0.4871,0.5499,0.5515,0.5946,0.6459
528.0,0.488,0.5512,0.5499,0.5974,0.6528
530.0,0.4873,0.5508,0.5552,0.5975,0.6562
532.0,0.4866,0.5519,0.559,0.5992,0.6605
534.0,0.4857,0.5524,0.5552,0.5991,0.654
536.0,0.4854,0.5518,0.5575,0.599,0.6559
538.0,0.4845,0.5527,0.5609,0.6088,0.6592
540.0,0.4853,0.555,0.5619,0.6076,0.6623
542.0,0.4844,0.5537,0.5631,0.6143,0.6632
544.0,0.485,0.5527,0.5637,0.6131,0.6627
546.0,0.4845,0.5548,0.5642,0.6112,0.6753
548.0,0.4852,0.5546,0.5644,0.6164,0.6743
550.0,0.4874,0.5564,0.565,0.6128,0.6717
552.0,0.4864,0.5597,0.5669,0.6175,0.6825
554.0,0.4855,0.5576,0.5709,0.6194,0.6789
556.0,0.4863,0.559,0.5705,0.6238,0.6759
558.0,0.4875,0.5598,0.5682,0.6243,0.6859
560.0,0.4833,0.5577,0.5731,0.6282,0.683
562.0,0.4798,0.5587,0.5725,0.6229,0.6878
564.0,0.4744,0.5577,0.575,0.6257,0.6869
566.0,0.4693,0.5603,0.5755,0.6286,0.6838
568.0,0.467,0.5592,0.574,0.6275,0.691
570.0,0.463,0.5586,0.5745,0.6294,0.6876
572.0,0.46,0.5594,0.5746,0.6263,0.6861
574.0,0.4595,0.5599,0.5748,0.6302,0.693
576.0,0.456,0.5588,0.5714,0.6291,0.6915
578.0,0.4502,0.5597,0.5731,0.6327,0.6897
580.0,0.4468,0.5562,0.573,0.6313,0.6889
582.0,0.442,0.5582,0.5733,0.6299,0.6898
584.0,0.4382,0.556,0.5712,0.6278,0.6889
586.0,0.4324,0.5537,0.5729,0.6288,0.6895
588.0,0.4295,0.5517,0.5711,0.6227,0.685
590.0,0.4282,0.5538,0.5709,0.6206,0.6861
592.0,0.425,0.5532,0.5687,0.6214,0.6844
594.0,0.425,0.5503,0.569,0.622,0.6788
596.0,0.422,0.5497,0.5687,0.6176,0.6804
598.0,0.422,0.5473,0.5668,0.6157,0.675
600.0,0.419,0.5468,0.5633,0.6166,0.6782
602.0,0.4163,0.5461,0.5633,0.6142,0.6737
604.0,0.4115,0.5433,0.5599,0.6147,0.6683
606.0,0.4099,0.5425,0.5596,0.611,0.6718
608.0,0.4099,0.5411,0.5596,0.6091,0.6668
610.0,0.4099,0.538,0.556,0.609,0.6645
612.0,0.4071,0.5389,0.5576,0.607,0.665
614.0,0.4071,0.5361,0.559,0.6054,0.6624
616.0,0.4045,0.5369,0.5556,0.6053,0.6639
618.0,0.4045,0.5339,0.5556,0.6033,0.6609
620.0,0.4015,0.5332,0.5537,0.6039,0.6617
622.0,0.3978,0.5316,0.5506,0.6001,0.6598
624.0,0.3956,0.5305,0.5494,0.5982,0.6573
626.0,0.3956,0.531,0.549,0.5984,0.6546
628.0,0.3956,0.5284,0.5474,0.5967,0.6507
630.0,0.3956,0.529,0.544,0.5926,0.6533
632.0,0.3956,0.5264,0.5455,0.5909,0.6506
634.0,0.3922,0.5269,0.5451,0.5913,0.6462
636.0,0.3922,0.5278,0.5422,0.589,0.6441
638.0,0.3922,0.5251,0.5432,0.5874,0.6416
640.0,0.3922,0.5258,0.5419,0.5854,0.6427
642.0,0.39,0.5243,0.5404,0.5876,0.6403
644.0,0.39,0.523,0.5414,0.5854,0.638
646.0,0.39,0.5215,0.54,0.5838,0.6354
648.0,0.391,0.5202,0.5386,0.586,0.6384
